iter	Logloss
0	0.6445071616
1	0.5838814546
2	0.5311774818
3	0.4847198888
4	0.4389638464
5	0.4026099281
6	0.3765363646
7	0.3487885514
8	0.3271383488
9	0.311434087
10	0.2859629853
11	0.2697947016
12	0.2539847269
13	0.235801663
14	0.2183969961
15	0.2059705694
16	0.1956653721
17	0.1828406566
18	0.1708343858
19	0.164594216
20	0.1555772415
21	0.1510678546
22	0.1452315946
23	0.1404348246
24	0.1337542045
25	0.1294780048
26	0.1262615837
27	0.1202792233
28	0.1167704749
29	0.1151308325
30	0.1121558287
31	0.1083931972
32	0.106071242
33	0.1021495414
34	0.09918110547
35	0.09713615793
36	0.09580610737
37	0.09459899381
38	0.09200183911
39	0.08962810432
40	0.08727912332
41	0.08616020949
42	0.08456799249
43	0.08323011086
44	0.08173395937
45	0.08069137363
46	0.08017358546
47	0.07846529538
48	0.076916448
49	0.07639505389
50	0.07516403481
51	0.07429607158
52	0.07378135869
53	0.07319225113
54	0.07226352444
55	0.0712057737
56	0.07087825545
57	0.0701299329
58	0.06994997309
59	0.06964581844
60	0.06920621914
61	0.06890112611
62	0.06863437508
63	0.06835360148
64	0.06810720226
65	0.06779140195
66	0.06737634522
67	0.06714684893
68	0.06671609705
69	0.06596269892
70	0.06585094375
71	0.06535481934
72	0.06513005336
73	0.06481910142
74	0.06425726509
75	0.06365214571
76	0.0635512578
77	0.06344753339
78	0.06309291041
79	0.06303398853
80	0.06289967296
81	0.06241528115
82	0.06213166503
83	0.06201881861
84	0.06182942466
85	0.06162658057
86	0.06150081181
87	0.0614402181
88	0.06085156295
89	0.06073667607
90	0.06062445302
91	0.06034691408
92	0.05970130141
93	0.05924294724
94	0.05915188058
95	0.05901044909
96	0.05895194642
97	0.05860692533
98	0.05845395594
99	0.05838790699
100	0.0582899885
101	0.05819273472
102	0.05799968157
103	0.0578454776
104	0.05770988987
105	0.05761707826
106	0.05718251531
107	0.05713817674
108	0.05680605386
109	0.05666078241
110	0.05650509703
111	0.05648200343
112	0.05639976139
113	0.05616908127
114	0.05612694813
115	0.05594915616
116	0.0557472671
117	0.05545084659
118	0.05536349257
119	0.05525876537
120	0.05520552597
121	0.0551180275
122	0.05501585359
123	0.05491653874
124	0.05487367088
125	0.05481841746
126	0.05471574322
127	0.05465074819
128	0.05461226537
129	0.05454656422
130	0.05451973131
131	0.05428098378
132	0.05410589965
133	0.05403904014
134	0.05397571381
135	0.05388912734
136	0.05378172622
137	0.05373040127
138	0.05353325748
139	0.05348859099
140	0.05334878551
141	0.05320941073
142	0.05317576536
143	0.05300155478
144	0.05288723302
145	0.05278042399
146	0.05272799303
147	0.05260127682
148	0.05253721176
149	0.05246004252
150	0.0522911352
151	0.05223042258
152	0.05212459774
153	0.05195608744
154	0.05185656365
155	0.05174015722
156	0.05170790273
157	0.05154458517
158	0.0515078203
159	0.05144823155
160	0.05140635067
161	0.05137700444
162	0.0512895624
163	0.0512258153
164	0.05118333087
165	0.05114594249
166	0.05109195871
167	0.0510557446
168	0.05101850037
169	0.05092327826
170	0.05077108297
171	0.05061916594
